,attraction_name,date,forecast
196,[The Lost World] Hatched! Featuring Dr. Rooney,10/22/2024,0
197,[The Lost World] Hatched! Featuring Dr. Rooney,10/23/2024,0
198,[The Lost World] Hatched! Featuring Dr. Rooney,10/24/2024,0
199,[The Lost World] Hatched! Featuring Dr. Rooney,10/25/2024,0
200,[The Lost World] Hatched! Featuring Dr. Rooney,10/26/2024,0
201,[The Lost World] Hatched! Featuring Dr. Rooney,10/27/2024,0
202,[The Lost World] Hatched! Featuring Dr. Rooney,10/28/2024,0
203,[The Lost World] Hatched! Featuring Dr. Rooney,10/29/2024,0
204,[The Lost World] Hatched! Featuring Dr. Rooney,10/30/2024,0
205,[The Lost World] Hatched! Featuring Dr. Rooney,10/31/2024,0
206,[The Lost World] Hatched! Featuring Dr. Rooney,11/1/2024,0
207,[The Lost World] Hatched! Featuring Dr. Rooney,11/2/2024,0
208,[The Lost World] Hatched! Featuring Dr. Rooney,11/3/2024,0
209,[The Lost World] Hatched! Featuring Dr. Rooney,11/4/2024,0
210,[The Lost World] Raptor Encounter with Blue,10/22/2024,3.150858474
211,[The Lost World] Raptor Encounter with Blue,10/23/2024,3.265197423
212,[The Lost World] Raptor Encounter with Blue,10/24/2024,3.717695879
213,[The Lost World] Raptor Encounter with Blue,10/25/2024,3.624416989
214,[The Lost World] Raptor Encounter with Blue,10/26/2024,4.547428429
215,[The Lost World] Raptor Encounter with Blue,10/27/2024,2.893439649
216,[The Lost World] Raptor Encounter with Blue,10/28/2024,3.793981869
217,[The Lost World] Raptor Encounter with Blue,10/29/2024,3.249762408
218,[The Lost World] Raptor Encounter with Blue,10/30/2024,3.221741535
219,[The Lost World] Raptor Encounter with Blue,10/31/2024,2.779990205
220,[The Lost World] Raptor Encounter with Blue,11/1/2024,3.498653349
221,[The Lost World] Raptor Encounter with Blue,11/2/2024,4.380348173
222,[The Lost World] Raptor Encounter with Blue,11/3/2024,2.784987642
223,[The Lost World] Raptor Encounter with Blue,11/4/2024,3.650756776
224,[Far Far Away] Enchanted Airways,10/22/2024,23.10628705
225,[Far Far Away] Enchanted Airways,10/23/2024,23.94480893
226,[Far Far Away] Enchanted Airways,10/24/2024,27.26313721
227,[Far Far Away] Enchanted Airways,10/25/2024,26.57901196
228,[Far Far Away] Enchanted Airways,10/26/2024,33.34803631
229,[Far Far Away] Enchanted Airways,10/27/2024,21.21844
230,[Far Far Away] Enchanted Airways,10/28/2024,27.82241736
231,[Far Far Away] Enchanted Airways,10/29/2024,23.83150221
232,[Far Far Away] Enchanted Airways,10/30/2024,23.62607944
233,[Far Far Away] Enchanted Airways,10/31/2024,20.38674029
234,[Far Far Away] Enchanted Airways,11/1/2024,25.65671754
235,[Far Far Away] Enchanted Airways,11/2/2024,32.1227416
236,[Far Far Away] Enchanted Airways,11/3/2024,20.42311148
237,[Far Far Away] Enchanted Airways,11/4/2024,26.77208144
238,[Far Far Away] Magic Potion Spin,10/22/2024,5.97140284
239,[Far Far Away] Magic Potion Spin,10/23/2024,6.188071482
240,[Far Far Away] Magic Potion Spin,10/24/2024,7.045604584
241,[Far Far Away] Magic Potion Spin,10/25/2024,6.868807672
